Order_ID,Product_ID,Quantity
ORD0652,P0115,
ORD0229,P0142,18.0
ORD0432,P0032,
ORD0515,P0027,18.0
ORD0458,P0599,1.0
ORD0164,P0430,5.0
ORD0346,P0104,4.0
ORD0354,P0270,15.0
ORD0388,P0080,20.0
ORD0372,P0587,3.0
ORD0234,P0296,8.0
ORD0390,P0284,12.0
ORD0365,P0214,3.0
ORD0176,P0543,6.0
ORD0277,P0566,11.0
ORD0058,P0234,11.0
ORD0067,P0216,19.0
ORD0324,P0217,13.0
ORD0656,P0467,5.0
ORD0570,P0548,19.0
ORD0595,P0407,5.0
ORD0093,P0048,5.0
ORD0694,P0430,13.0
ORD0478,P0539,18.0
ORD0012,P0118,18.0
ORD0654,P0348,14.0
ORD0004,P0269,6.0
ORD0109,P0305,17.0
ORD0157,P0381,18.0
ORD0540,P0001,16.0
ORD0540,P0001,16.0
ORD0373,P0314,8.0
ORD0080,P0087,3.0
ORD0542,P0129,16.0
ORD0170,P0271,20.0
ORD0217,P0549,7.0
ORD0409,P0381,17.0
ORD0254,P0230,1.0
ORD0236,P0598,3.0
ORD0061,P0234,2.0
ORD0072,P0524,16.0
ORD0136,P0580,8.0
ORD0417,P0194,14.0
ORD0421,P0476,2.0
ORD0659,P0100,11.0
ORD0112,P0254,18.0
ORD0432,P0187,8.0
ORD0077,P0451,18.0
ORD0665,P0550,3.0
ORD0243,P0169,16.0
ORD0411,P0060,1.0
ORD0272,P0463,18.0
ORD0496,P0157,7.0
ORD0591,P0552,11.0
ORD0596,P0486,17.0
ORD0518,P0082,3.0
ORD0689,P0240,19.0
ORD0605,P0040,14.0
ORD0574,P0533,9.0
ORD0731,P0321,13.0
ORD0658,P0307,3.0
ORD0658,P0307,3.0
ORD0633,P0572,3.0
ORD0516,P0271,12.0
ORD0251,P0377,15.0
ORD0718,P0309,17.0
ORD0718,P0309,17.0
ORD0563,P0306,4.0
ORD0138,P0270,4.0
ORD0160,P0278,7.0
ORD0209,P0270,9.0
ORD0053,P0094,9.0
ORD0343,P0133,9.0
ORD0451,P0560,18.0
ORD0451,P0560,18.0
ORD0077,P0151,12.0
ORD0152,P0438,10.0
ORD0041,P0365,8.0
ORD0364,P0569,14.0
ORD0159,P0242,6.0
ORD0026,P0183,11.0
ORD0422,P0254,4.0
ORD0040,P0479,15.0
ORD0234,P0228,
ORD0338,P0285,9.0
ORD0519,P0408,18.0
ORD0029,P0119,9.0
ORD0272,P0039,14.0
ORD0323,P0444,17.0
ORD0587,P0194,14.0
ORD0587,P0194,14.0
ORD0548,P0201,3.0
ORD0340,P0321,4.0
ORD0309,P0517,14.0
ORD0711,P0302,7.0
ORD0389,P0177,10.0
ORD0001,P0311,14.0
ORD0618,P0329,15.0
ORD0521,P0482,6.0
ORD0292,P0525,20.0
ORD0241,P0317,7.0
ORD0048,P0250,20.0
ORD0074,P0464,19.0
ORD0711,P0392,8.0
ORD0702,P0006,4.0
ORD0225,P0179,17.0
ORD0566,P0255,4.0
ORD0474,P0541,20.0
ORD0452,P0514,18.0
ORD0163,P0484,8.0
ORD0285,P0531,8.0
ORD0079,P0292,11.0
ORD0550,P0082,8.0
ORD0157,P0219,14.0
ORD0476,P0423,14.0
ORD0596,P0021,19.0
ORD0007,P0359,13.0
ORD0430,P0548,18.0
ORD0226,P0497,14.0
ORD0399,P0344,13.0
ORD0477,P0130,18.0
ORD0404,P0573,3.0
ORD0139,P0470,9.0
ORD0217,P0463,13.0
ORD0432,P0258,16.0
ORD0432,P0258,16.0
ORD0549,P0053,12.0
ORD0070,P0041,8.0
ORD0021,P0155,16.0
ORD0573,P0223,9.0
ORD0172,P0118,6.0
ORD0111,P0588,
ORD0691,P0383,7.0
ORD0705,P0248,10.0
ORD0611,P0124,19.0
ORD0357,P0543,12.0
ORD0661,P0349,
ORD0499,P0109,12.0
ORD0469,P0155,17.0
ORD0277,P0548,15.0
ORD0746,P0274,8.0
ORD0088,P0285,8.0
ORD0580,P0387,16.0
ORD0187,P0497,9.0
ORD0607,P0282,17.0
ORD0087,P0247,16.0
ORD0247,P0485,16.0
ORD0018,P0095,13.0
ORD0315,P0591,18.0
ORD0435,P0560,15.0
ORD0258,P0236,7.0
ORD0545,P0189,16.0
ORD0601,P0535,4.0
ORD0305,P0232,10.0
ORD0305,P0232,10.0
ORD0543,P0130,2.0
ORD0712,P0130,16.0
ORD0013,P0583,16.0
ORD0189,P0052,16.0
ORD0066,P0409,19.0
ORD0055,P0154,19.0
ORD0087,P0254,14.0
ORD0630,P0231,13.0
ORD0452,P0304,14.0
ORD0632,P0061,4.0
ORD0213,P0216,3.0
ORD0178,P0561,1.0
ORD0703,P0479,8.0
ORD0291,P0462,8.0
ORD0637,P0599,7.0
ORD0554,P0230,9.0
ORD0073,P0061,10.0
ORD0578,P0295,15.0
ORD0714,P0411,17.0
ORD0447,P0082,14.0
ORD0615,P0256,
ORD0688,P0585,1.0
ORD0686,P0275,6.0
ORD0665,P0450,6.0
ORD0445,P0501,16.0
ORD0343,P0328,6.0
ORD0708,P0505,13.0
ORD0559,P0037,11.0
ORD0119,P0412,1.0
ORD0552,P0471,7.0
ORD0634,P0508,2.0
ORD0558,P0134,15.0
ORD0494,P0125,
ORD0246,P0161,1.0
ORD0095,P0230,4.0
ORD0121,P0156,10.0
ORD0280,P0423,16.0
ORD0560,P0148,20.0
ORD0140,P0071,14.0
ORD0517,P0273,10.0
ORD0599,P0589,16.0
ORD0456,P0548,11.0
ORD0553,P0385,11.0
ORD0712,P0244,8.0
ORD0421,P0044,16.0
ORD0391,P0394,5.0
ORD0038,P0130,19.0
ORD0103,P0448,15.0
ORD0103,P0448,15.0
ORD0148,P0418,5.0
ORD0272,P0346,13.0
ORD0338,P0543,11.0
ORD0497,P0551,
ORD0643,P0294,3.0
ORD0101,P0102,10.0
ORD0048,P0332,10.0
ORD0441,P0149,14.0
ORD0185,P0173,20.0
ORD0631,P0246,19.0
ORD0471,P0260,1.0
ORD0475,P0294,6.0
ORD0355,P0597,14.0
ORD0466,P0309,13.0
ORD0110,P0242,12.0
ORD0714,P0302,
ORD0406,P0281,
ORD0051,P0506,10.0
ORD0236,P0359,7.0
ORD0692,P0140,2.0
ORD0450,P0034,5.0
ORD0304,P0334,6.0
ORD0549,P0373,9.0
ORD0264,P0491,10.0
ORD0348,P0118,3.0
ORD0232,P0405,18.0
ORD0405,P0016,4.0
ORD0686,P0268,12.0
ORD0240,P0480,
ORD0570,P0335,8.0
ORD0647,P0473,10.0
ORD0120,P0143,
ORD0502,P0119,18.0
ORD0463,P0378,18.0
ORD0742,P0157,4.0
ORD0627,P0416,9.0
ORD0381,P0222,8.0
ORD0102,P0375,12.0
ORD0284,P0194,15.0
ORD0218,P0022,11.0
ORD0129,P0574,18.0
ORD0222,P0238,5.0
ORD0607,P0003,5.0
ORD0550,P0256,4.0
ORD0027,P0134,
ORD0244,P0598,6.0
ORD0130,P0429,3.0
ORD0372,P0523,15.0
ORD0626,P0044,17.0
ORD0656,P0031,16.0
ORD0436,P0111,15.0
ORD0082,P0329,3.0
ORD0636,P0595,11.0
ORD0608,P0541,17.0
ORD0102,P0118,18.0
ORD0221,P0438,8.0
ORD0463,P0407,4.0
ORD0322,P0261,5.0
ORD0484,P0068,3.0
ORD0099,P0380,18.0
ORD0571,P0571,4.0
ORD0679,P0431,2.0
ORD0611,P0319,19.0
ORD0159,P0491,4.0
ORD0565,P0375,9.0
ORD0439,P0570,20.0
ORD0656,P0566,
ORD0708,P0273,
ORD0318,P0347,6.0
ORD0575,P0409,1.0
ORD0540,P0220,15.0
ORD0380,P0319,19.0
ORD0054,P0158,20.0
ORD0083,P0278,14.0
ORD0451,P0422,17.0
ORD0440,P0114,19.0
ORD0681,P0315,
ORD0610,P0056,
ORD0217,P0140,10.0
ORD0008,P0507,6.0
ORD0542,P0235,12.0
ORD0044,P0444,
ORD0322,P0585,13.0
ORD0428,P0296,1.0
ORD0176,P0469,12.0
ORD0109,P0249,13.0
ORD0406,P0317,8.0
ORD0173,P0078,4.0
ORD0199,P0356,5.0
ORD0150,P0262,20.0
ORD0669,P0077,16.0
ORD0573,P0589,19.0
INVALID,INVALID,11.0
ORD0069,P0478,10.0
ORD0603,P0057,3.0
ORD0461,P0038,10.0
ORD0092,P0517,19.0
ORD0043,P0458,19.0
ORD0331,P0485,2.0
ORD0353,P0086,6.0
ORD0722,P0446,17.0
ORD0163,P0371,10.0
ORD0348,P0053,11.0
ORD0096,P0567,10.0
ORD0670,P0152,19.0
ORD0360,P0317,13.0
ORD0723,P0086,13.0
ORD0338,P0130,17.0
ORD0684,P0431,1.0
ORD0185,P0219,16.0
ORD0141,P0157,4.0
ORD0549,P0537,
ORD0629,P0134,5.0
ORD0707,P0168,2.0
ORD0690,P0243,20.0
INVALID,INVALID,10.0
ORD0479,P0198,19.0
ORD0471,P0288,17.0
ORD0166,P0204,5.0
ORD0054,P0490,18.0
ORD0726,P0526,10.0
ORD0165,P0279,17.0
ORD0446,P0093,8.0
ORD0359,P0027,13.0
ORD0242,P0394,12.0
ORD0328,P0101,11.0
ORD0141,P0039,16.0
ORD0143,P0478,1.0
ORD0020,P0262,5.0
ORD0742,P0538,10.0
ORD0125,P0048,20.0
ORD0114,P0509,1.0
ORD0585,P0247,10.0
ORD0626,P0360,14.0
ORD0682,P0087,12.0
ORD0535,P0554,17.0
ORD0400,P0479,
ORD0383,P0259,12.0
ORD0355,P0246,4.0
ORD0750,P0340,12.0
ORD0656,P0178,15.0
ORD0488,P0186,3.0
ORD0467,P0037,2.0
ORD0043,P0323,17.0
ORD0553,P0482,7.0
ORD0049,P0339,12.0
ORD0410,P0448,13.0
ORD0192,P0506,12.0
ORD0528,P0273,14.0
ORD0613,P0184,11.0
ORD0337,P0302,20.0
ORD0171,P0452,2.0
ORD0363,P0443,2.0
ORD0649,P0414,6.0
ORD0147,P0446,
ORD0658,P0374,19.0
ORD0158,P0458,12.0
ORD0078,P0583,12.0
ORD0663,P0285,4.0
ORD0191,P0509,18.0
ORD0267,P0454,20.0
ORD0500,P0204,3.0
ORD0728,P0453,11.0
ORD0724,P0066,10.0
ORD0162,P0177,17.0
ORD0206,P0142,16.0
ORD0563,P0582,18.0
ORD0088,P0067,16.0
ORD0420,P0584,11.0
ORD0459,P0475,12.0
ORD0560,P0597,5.0
ORD0057,P0128,10.0
ORD0332,P0230,17.0
INVALID,INVALID,18.0
ORD0637,P0310,3.0
ORD0173,P0590,20.0
ORD0616,P0345,19.0
ORD0030,P0083,
ORD0587,P0271,19.0
ORD0652,P0031,18.0
ORD0311,P0492,13.0
ORD0074,P0061,14.0
ORD0209,P0348,11.0
ORD0328,P0352,5.0
ORD0525,P0571,8.0
ORD0274,P0458,4.0
ORD0394,P0426,6.0
ORD0589,P0320,6.0
ORD0525,P0476,10.0
ORD0092,P0401,8.0
ORD0363,P0049,16.0
ORD0667,P0479,1.0
ORD0441,P0137,12.0
ORD0376,P0046,19.0
ORD0373,P0562,13.0
ORD0559,P0286,20.0
ORD0122,P0131,13.0
ORD0349,P0567,5.0
ORD0519,P0410,2.0
ORD0728,P0341,17.0
ORD0617,P0525,20.0
ORD0403,P0306,17.0
ORD0542,P0499,10.0
ORD0018,P0376,4.0
ORD0595,P0315,1.0
ORD0272,P0588,2.0
ORD0175,P0534,20.0
ORD0390,P0150,8.0
ORD0715,P0113,15.0
ORD0156,P0421,14.0
ORD0623,P0480,2.0
ORD0528,P0212,16.0
ORD0323,P0176,18.0
ORD0364,P0270,7.0
ORD0287,P0567,10.0
ORD0719,P0212,16.0
ORD0359,P0569,9.0
ORD0584,P0553,13.0
ORD0150,P0297,
ORD0080,P0353,9.0
ORD0220,P0206,9.0
ORD0710,P0278,20.0
ORD0246,P0248,17.0
ORD0239,P0053,11.0
ORD0103,P0140,
ORD0162,P0415,16.0
ORD0205,P0294,2.0
ORD0091,P0583,2.0
ORD0180,P0425,6.0
ORD0038,P0405,6.0
ORD0298,P0038,
ORD0110,P0343,18.0
ORD0138,P0514,7.0
ORD0340,P0165,9.0
ORD0015,P0345,19.0
ORD0198,P0178,13.0
ORD0525,P0335,4.0
ORD0144,P0486,8.0
ORD0144,P0486,8.0
ORD0393,P0241,9.0
ORD0311,P0592,1.0
ORD0370,P0241,4.0
ORD0164,P0414,10.0
ORD0652,P0302,8.0
ORD0137,P0487,20.0
ORD0716,P0559,18.0
ORD0224,P0253,20.0
ORD0083,P0536,12.0
ORD0573,P0115,18.0
ORD0208,P0582,6.0
ORD0529,P0450,7.0
ORD0498,P0093,15.0
ORD0463,P0135,15.0
ORD0568,P0471,10.0
ORD0406,P0260,7.0
ORD0047,P0431,3.0
ORD0062,P0070,16.0
ORD0419,P0184,14.0
ORD0392,P0457,13.0
ORD0697,P0549,12.0
ORD0547,P0401,8.0
ORD0024,P0305,18.0
ORD0389,P0235,12.0
ORD0194,P0116,
ORD0626,P0018,3.0
ORD0035,P0455,2.0
ORD0046,P0410,18.0
ORD0058,P0143,10.0
ORD0747,P0585,20.0
ORD0330,P0242,5.0
ORD0530,P0226,9.0
ORD0603,P0178,14.0
ORD0049,P0351,13.0
ORD0328,P0424,10.0
ORD0547,P0482,8.0
ORD0722,P0147,2.0
ORD0427,P0566,13.0
ORD0209,P0338,15.0
ORD0094,P0545,7.0
ORD0387,P0040,7.0
ORD0599,P0568,7.0
ORD0342,P0310,1.0
ORD0195,P0121,16.0
ORD0710,P0209,8.0
ORD0291,P0388,12.0
ORD0370,P0523,15.0
ORD0737,P0478,11.0
ORD0381,P0320,19.0
ORD0150,P0018,19.0
ORD0428,P0302,11.0
ORD0580,P0251,11.0
ORD0498,P0500,12.0
ORD0735,P0556,18.0
ORD0061,P0534,
ORD0682,P0049,14.0
ORD0642,P0236,5.0
ORD0642,P0236,5.0
ORD0515,P0464,20.0
ORD0628,P0492,1.0
ORD0628,P0492,1.0
ORD0560,P0420,
ORD0283,P0545,1.0
ORD0712,P0438,6.0
ORD0099,P0534,7.0
ORD0259,P0361,13.0
ORD0416,P0468,8.0
ORD0082,P0032,13.0
ORD0486,P0057,6.0
ORD0444,P0339,4.0
ORD0044,P0235,19.0
ORD0048,P0076,9.0
ORD0573,P0033,11.0
ORD0573,P0033,11.0
ORD0213,P0597,13.0
ORD0308,P0165,19.0
ORD0399,P0550,5.0
ORD0703,P0080,12.0
ORD0446,P0237,11.0
ORD0625,P0405,11.0
ORD0280,P0459,12.0
ORD0385,P0440,19.0
ORD0087,P0302,3.0
ORD0158,P0388,5.0
ORD0326,P0368,1.0
ORD0454,P0367,4.0
ORD0192,P0439,18.0
ORD0106,P0026,18.0
INVALID,INVALID,1.0
ORD0398,P0086,18.0
ORD0249,P0581,13.0
ORD0276,P0308,5.0
ORD0445,P0282,16.0
ORD0371,P0257,16.0
ORD0201,P0466,10.0
INVALID,INVALID,10.0
ORD0406,P0340,13.0
ORD0339,P0448,20.0
ORD0330,P0205,6.0
ORD0328,P0298,16.0
ORD0249,P0333,13.0
ORD0573,P0204,18.0
ORD0559,P0027,15.0
ORD0215,P0446,3.0
ORD0419,P0509,10.0
ORD0672,P0156,13.0
ORD0609,P0488,18.0
ORD0706,P0426,12.0
ORD0546,P0087,8.0
ORD0365,P0169,2.0
ORD0658,P0408,11.0
ORD0440,P0109,
ORD0520,P0529,19.0
ORD0384,P0399,19.0
ORD0155,P0352,16.0
ORD0426,P0087,5.0
ORD0353,P0464,17.0
ORD0486,P0099,15.0
ORD0309,P0045,4.0
ORD0353,P0112,6.0
ORD0250,P0526,6.0
ORD0436,P0471,13.0
ORD0191,P0440,20.0
ORD0459,P0437,7.0
ORD0718,P0064,18.0
ORD0335,P0201,9.0
ORD0499,P0538,11.0
ORD0622,P0400,12.0
ORD0467,P0175,10.0
ORD0602,P0086,11.0
ORD0314,P0120,5.0
ORD0429,P0141,14.0
ORD0647,P0547,6.0
ORD0499,P0295,11.0
ORD0631,P0054,1.0
ORD0200,P0392,17.0
ORD0419,P0501,15.0
ORD0084,P0574,
ORD0301,P0033,18.0
ORD0467,P0575,16.0
ORD0116,P0582,18.0
ORD0377,P0552,2.0
ORD0450,P0556,14.0
ORD0667,P0253,2.0
ORD0358,P0089,4.0
ORD0243,P0214,19.0
ORD0725,P0436,5.0
ORD0212,P0060,18.0
ORD0548,P0171,10.0
ORD0274,P0524,4.0
ORD0422,P0060,5.0
ORD0136,P0255,11.0
ORD0690,P0401,19.0
ORD0639,P0422,3.0
ORD0095,P0411,9.0
ORD0379,P0463,11.0
ORD0748,P0095,15.0
ORD0712,P0365,18.0
ORD0439,P0216,11.0
ORD0347,P0557,19.0
ORD0353,P0049,
ORD0469,P0018,6.0
ORD0001,P0436,5.0
ORD0311,P0161,9.0
ORD0371,P0256,6.0
ORD0637,P0312,8.0
ORD0093,P0097,
ORD0136,P0231,15.0
ORD0136,P0231,15.0
ORD0710,P0350,14.0
ORD0487,P0072,3.0
ORD0105,P0105,10.0
ORD0137,P0146,19.0
ORD0137,P0146,19.0
ORD0663,P0167,7.0
ORD0156,P0420,15.0
ORD0088,P0102,4.0
ORD0394,P0358,11.0
ORD0254,P0283,8.0
ORD0611,P0291,1.0
ORD0672,P0308,20.0
ORD0402,P0302,8.0
ORD0116,P0246,20.0
ORD0013,P0368,5.0
ORD0578,P0428,6.0
ORD0074,P0018,1.0
ORD0041,P0061,13.0
ORD0640,P0511,14.0
ORD0084,P0546,5.0
ORD0319,P0080,7.0
ORD0160,P0546,19.0
ORD0663,P0067,14.0
ORD0245,P0059,14.0
ORD0623,P0056,6.0
ORD0722,P0140,6.0
ORD0357,P0533,9.0
ORD0130,P0275,4.0
ORD0031,P0343,9.0
ORD0270,P0586,16.0
ORD0370,P0056,19.0
ORD0162,P0261,19.0
ORD0119,P0233,1.0
ORD0013,P0250,
ORD0154,P0183,2.0
ORD0729,P0427,8.0
ORD0735,P0327,3.0
ORD0123,P0512,2.0
ORD0526,P0047,3.0
ORD0291,P0318,18.0
ORD0379,P0205,10.0
ORD0249,P0473,16.0
ORD0201,P0556,8.0
ORD0420,P0024,12.0
ORD0708,P0010,1.0
ORD0386,P0314,17.0
ORD0430,P0501,5.0
ORD0095,P0044,17.0
ORD0382,P0467,3.0
ORD0515,P0136,13.0
ORD0577,P0063,5.0
ORD0268,P0322,13.0
ORD0336,P0325,8.0
ORD0208,P0139,19.0
ORD0109,P0167,11.0
ORD0545,P0365,7.0
ORD0473,P0271,3.0
ORD0700,P0311,20.0
ORD0337,P0150,8.0
ORD0406,P0523,
ORD0179,P0031,15.0
ORD0559,P0255,4.0
ORD0144,P0125,
ORD0228,P0133,13.0
ORD0642,P0086,9.0
ORD0076,P0023,7.0
ORD0453,P0131,11.0
ORD0471,P0051,19.0
ORD0739,P0403,13.0
ORD0177,P0361,6.0
ORD0455,P0151,
ORD0252,P0302,18.0
ORD0089,P0286,14.0
ORD0535,P0255,18.0
ORD0392,P0366,16.0
ORD0575,P0512,9.0
ORD0328,P0224,
ORD0289,P0059,16.0
ORD0596,P0238,4.0
ORD0247,P0272,2.0
ORD0225,P0585,13.0
ORD0178,P0179,11.0
ORD0712,P0366,1.0
ORD0362,P0577,19.0
ORD0502,P0552,16.0
ORD0058,P0238,1.0
ORD0001,P0339,7.0
ORD0350,P0180,11.0
ORD0152,P0596,5.0
ORD0535,P0372,12.0
ORD0676,P0404,11.0
ORD0140,P0160,14.0
ORD0496,P0324,18.0
ORD0625,P0364,19.0
ORD0388,P0314,10.0
ORD0744,P0002,19.0
ORD0577,P0033,11.0
ORD0623,P0226,4.0
ORD0145,P0339,8.0
ORD0329,P0170,3.0
ORD0684,P0343,9.0
ORD0707,P0069,4.0
ORD0050,P0394,14.0
ORD0424,P0502,12.0
ORD0104,P0488,19.0
ORD0701,P0230,3.0
ORD0035,P0301,
ORD0108,P0075,13.0
ORD0076,P0557,3.0
ORD0625,P0492,14.0
ORD0169,P0442,4.0
ORD0195,P0418,18.0
ORD0290,P0304,2.0
ORD0558,P0500,12.0
ORD0558,P0500,12.0
ORD0089,P0301,20.0
ORD0100,P0026,10.0
ORD0483,P0119,13.0
ORD0674,P0271,18.0
ORD0381,P0389,15.0
ORD0449,P0474,9.0
ORD0155,P0099,12.0
ORD0424,P0599,2.0
ORD0532,P0426,16.0
ORD0242,P0485,13.0
ORD0729,P0035,17.0
ORD0691,P0149,15.0
ORD0172,P0216,5.0
ORD0080,P0443,5.0
ORD0265,P0327,3.0
ORD0565,P0405,9.0
ORD0013,P0597,14.0
ORD0154,P0150,19.0
ORD0103,P0109,4.0
ORD0545,P0351,9.0
ORD0495,P0581,2.0
ORD0413,P0147,13.0
ORD0341,P0243,
ORD0276,P0380,
ORD0312,P0318,16.0
ORD0699,P0100,8.0
ORD0452,P0328,14.0
ORD0091,P0192,14.0
ORD0526,P0381,17.0
ORD0067,P0318,13.0
ORD0533,P0578,
ORD0206,P0059,15.0
ORD0371,P0203,15.0
ORD0647,P0127,8.0
ORD0605,P0454,16.0
ORD0360,P0351,9.0
ORD0703,P0092,13.0
ORD0582,P0219,8.0
ORD0276,P0418,1.0
ORD0136,P0176,1.0
ORD0619,P0312,9.0
ORD0386,P0356,7.0
ORD0691,P0531,13.0
ORD0008,P0521,12.0
ORD0605,P0289,4.0
ORD0346,P0283,9.0
ORD0726,P0305,17.0
ORD0059,P0412,5.0
ORD0669,P0507,9.0
ORD0415,P0396,19.0
ORD0582,P0194,8.0
ORD0651,P0485,12.0
ORD0175,P0567,4.0
ORD0265,P0568,6.0
ORD0345,P0091,8.0
ORD0316,P0428,11.0
ORD0597,P0301,4.0
ORD0646,P0593,20.0
ORD0200,P0510,13.0
ORD0424,P0055,5.0
ORD0206,P0350,19.0
ORD0467,P0146,6.0
ORD0497,P0340,6.0
ORD0060,P0005,7.0
ORD0173,P0586,16.0
ORD0090,P0132,14.0
ORD0487,P0391,
ORD0746,P0381,11.0
ORD0540,P0195,
ORD0540,P0195,
ORD0749,P0254,12.0
ORD0106,P0391,10.0
ORD0047,P0305,15.0
ORD0607,P0534,5.0
ORD0499,P0366,6.0
ORD0414,P0020,5.0
ORD0023,P0599,4.0
ORD0664,P0038,9.0
ORD0635,P0049,2.0
ORD0667,P0021,
ORD0453,P0388,9.0
ORD0157,P0210,1.0
ORD0675,P0103,9.0
ORD0715,P0140,4.0
ORD0629,P0121,4.0
ORD0620,P0204,17.0
ORD0368,P0418,2.0
ORD0213,P0490,1.0
ORD0213,P0490,1.0
ORD0091,P0114,16.0
ORD0092,P0521,4.0
ORD0657,P0236,10.0
ORD0052,P0102,2.0
ORD0370,P0320,4.0
ORD0047,P0010,6.0
ORD0447,P0274,3.0
ORD0352,P0187,13.0
ORD0279,P0393,16.0
ORD0662,P0169,2.0
ORD0164,P0106,19.0
ORD0578,P0446,13.0
ORD0623,P0029,5.0
ORD0497,P0116,15.0
ORD0268,P0321,
ORD0534,P0586,8.0
ORD0683,P0346,20.0
ORD0675,P0254,13.0
ORD0567,P0055,
ORD0515,P0478,6.0
ORD0501,P0328,9.0
ORD0229,P0560,13.0
ORD0080,P0468,19.0
ORD0508,P0455,16.0
ORD0019,P0105,2.0
ORD0001,P0093,20.0
ORD0518,P0571,15.0
ORD0374,P0055,15.0
ORD0631,P0482,12.0
ORD0117,P0099,8.0
ORD0117,P0099,8.0
ORD0365,P0298,12.0
ORD0047,P0167,14.0
ORD0622,P0200,13.0
ORD0196,P0346,14.0
ORD0645,P0598,15.0
ORD0601,P0514,16.0
ORD0601,P0514,16.0
ORD0050,P0562,19.0
ORD0518,P0180,6.0
ORD0132,P0106,20.0
ORD0331,P0514,14.0
ORD0707,P0254,11.0
ORD0462,P0136,20.0
ORD0522,P0306,18.0
ORD0726,P0562,7.0
ORD0729,P0297,5.0
ORD0663,P0182,11.0
ORD0362,P0571,19.0
ORD0725,P0425,18.0
ORD0432,P0015,1.0
ORD0055,P0057,6.0
ORD0697,P0256,2.0
ORD0304,P0208,2.0
ORD0462,P0104,18.0
ORD0660,P0570,17.0
ORD0710,P0294,2.0
ORD0397,P0424,11.0
ORD0056,P0015,7.0
ORD0452,P0230,12.0
ORD0556,P0201,7.0
ORD0182,P0076,6.0
ORD0123,P0385,
ORD0271,P0133,9.0
ORD0271,P0133,9.0
ORD0476,P0157,
ORD0608,P0052,20.0
ORD0310,P0500,18.0
ORD0722,P0325,6.0
ORD0515,P0162,18.0
ORD0359,P0226,11.0
ORD0302,P0223,20.0
ORD0570,P0010,12.0
ORD0655,P0249,11.0
ORD0117,P0394,10.0
ORD0527,P0382,17.0
ORD0045,P0303,7.0
ORD0084,P0098,18.0
ORD0638,P0067,7.0
ORD0434,P0106,14.0
ORD0073,P0156,
ORD0039,P0089,6.0
ORD0567,P0072,8.0
ORD0418,P0396,13.0
ORD0018,P0397,18.0
ORD0018,P0397,18.0
ORD0735,P0064,19.0
ORD0074,P0365,4.0
ORD0700,P0308,10.0
ORD0447,P0389,1.0
ORD0543,P0225,13.0
ORD0555,P0302,5.0
ORD0744,P0381,1.0
ORD0564,P0144,1.0
ORD0404,P0547,3.0
ORD0741,P0351,17.0
ORD0189,P0226,9.0
ORD0186,P0576,18.0
ORD0558,P0074,3.0
ORD0203,P0590,11.0
ORD0685,P0240,20.0
ORD0199,P0325,11.0
ORD0315,P0594,19.0
ORD0325,P0436,11.0
ORD0227,P0444,12.0
ORD0748,P0339,15.0
